1;Van Buren;753 Monroe Street;Boston;33347;WI;17-05-1962;634-608-1829;114.71
2;Lincoln;492 3/4 North Preisker Lane;Helena;72262;CT;13-09-1976;277-955-3440;79.09
3;Taylor;140 Via Real;Topeka;80777;FL;26-08-1995;324-301-2565;69.71
4;Adams;920 Jean de la Fontaine UNIT 11;Harrisburg;42893;OR;30-09-1997;673-454-4359;46.68
5;Arthur;989 Bowles Avenue;Oklahoma City;70403;HI;16-05-1967;689-239-6423;94.95
6;Garfield;926 East Main Street;Phoenix;57263;NM;23-02-1986;212-557-4930;93.1
7;Garfield;571 Hutchinson Rd;Madison;81626;AZ;25-01-1959;509-938-9472;106.08
8;Monroe;529 Pacific Hwy S;Salt Lake City;39036;SD;19-07-1977;912-743-5804;103.06
9;Johnson;109 Camelback Rd;Juneau;22856;TX;31-01-1982;218-216-2876;62.21
10;Polk;105 Apalachee Parkway;Harrisburg;53363;OK;03-01-1993;687-882-6953;47.82
11;Truman;150 Monroe Street;Des Moines;79646;NE;24-05-1985;652-415-3417;55.11
12;Fillmore;339 N Kentwood;Tallahassee;71707;TN;06-12-1988;588-300-4881;43.22
13;Pierce;71 W. Russell St.;Hartford;65894;CA;09-03-1956;920-757-4843;71.33
14;Tyler;916 San Luis Obispo North;Baton Rouge;47237;OR;17-05-1970;286-415-5821;116.86
15;Monroe;450 East Calle Primera UNIT 25;Pierre;25727;VT;10-06-1993;916-521-5352;106.84
16;Clinton;813 North Atherton Street UNIT 13;Lincoln;22881;IN;06-12-1961;233-776-6895;34.6
17;Jackson;69 Redwood Highway;Jackson;73308;AR;12-09-1958;588-304-2083;40.91
18;Eisenhower;977 Redwood Highway;Dover;63579;VA;27-05-1974;335-155-6099;6.21
19;Harding;486 Newbury Road;Jackson;76712;NJ;15-02-1952;313-505-5704;17.84
20;Van Buren;239 Tanger Blvd;Juneau;69071;IL;15-05-1973;352-148-6428;34.35
21;Arthur;174 Moreno Drive;Augusta;65556;AL;07-03-1994;491-927-5963;30.56
22;Van Buren;197 Timberlane Drive;Dover;40371;MS;13-12-1963;266-902-8348;55.74
23;Washington;665 3/4 Bowles Avenue BLDG 36;Cheyenne;71215;OK;26-12-1992;285-201-7957;95.95
24;Jefferson;386 Newbury Road;Trenton;31745;KS;29-10-1981;641-372-4810;117.86
25;Monroe;94 Castillo Drive;Augusta;64610;AL;08-08-1985;454-273-3331;115.7
26;Johnson;611 3/4 Calle Real;Annapolis;33260;NH;05-11-1984;792-675-4118;36.78
27;Harrison;522 Jones Road;Tallahassee;73527;NH;05-06-1981;983-707-9482;81.43
28;Arthur;95 Fairview Avenue;Columbia;53641;WV;06-04-1987;813-991-1523;6.71
29;Roosevelt;655 East Fry Blvd.;Helena;21292;NV;19-11-1995;448-194-9872;82.43
30;Johnson;159 Cabrillo Highway;Saint Paul;40094;VT;20-11-1974;874-831-9304;119.3
31;Adams;164 3/4 W. Russell St.;Boston;63726;IN;02-08-1962;257-372-4082;46.4
32;Buchanan;955 Carpinteria Avenue STE 50;Salt Lake City;36976;HI;01-05-1967;220-771-8410;36.72
33;Eisenhower;432 Cleveland Ave. STE 21;Little Rock;46985;ME;26-02-1992;272-101-5160;97.15
34;Adams;229 North Preisker Lane;Phoenix;57842;HI;22-06-1981;907-625-6995;26.43
35;Grant;138 Calle Real;Saint Paul;82986;HI;05-12-1969;553-937-1779;61.11
36;Roosevelt;131 Lake Tahoe Blvd.;Charleston;60775;AK;29-05-1950;687-602-2257;46.67
37;Harrison;746 3/4 Via Real;Charleston;55123;NM;02-09-1992;955-708-2750;99.63
38;Jefferson;596 N Harrison St;Annapolis;37904;TX;30-12-1951;495-469-8678;104.01
39;Madison;25 North Broadway Street;Lincoln;60968;MD;16-07-1988;896-885-8092;37.53
40;Quincy;710 Carpinteria North;Boise;62063;AZ;10-04-1961;938-921-6856;47.32
41;Adams;767 East Calle Primera;Lincoln;78372;OR;14-06-1996;237-599-1965;116.32
42;Harding;162 Castillo Drive;Juneau;20116;DE;06-11-1984;836-826-7151;37.92
43;Hoover;900 Calle Real;Atlanta;57458;DE;27-01-1953;791-747-2786;67.2
44;Pierce;989 1/2 Woodson Rd.;Jackson;33344;NC;04-07-1959;633-398-6761;110.01
45;Reagan;273 1/2 Lawrenceville Suwanee;Lansing;31840;NC;30-07-1959;985-485-3613;96.5
46;Quincy;99 North Preisker Lane;Columbia;85841;LA;07-03-1961;907-809-3353;45.33
47;Buchanan;117 Castillo Drive APT 39;Juneau;47584;CO;24-05-1996;425-114-2552;57.11
48;Lincoln;870 1/4 Monroe Street;Carson City;24386;PA;17-07-1986;808-853-8307;67.73
49;Van Buren;814 Westside Freeway;Denver;36506;NV;27-02-1986;877-287-5179;98.53
50;Pierce;1 Bayshore Freeway;Harrisburg;34844;AK;16-04-1973;655-518-4906;35.45
51;Johnson;596 Timberlane Drive BLDG 8;Richmond;47985;RI;08-12-1964;772-309-7603;105.37
52;Hoover;963 Bayshore Freeway;Helena;82301;NV;12-06-1969;313-828-3444;60.5
53;Harrison;20 Tully Road East BLDG 2;Atlanta;68225;CO;25-01-1990;618-303-6611;111.15
54;Reagan;118 Burnett Road BLDG 42;Richmond;14769;OH;28-09-1989;390-367-9679;27.29
55;Harrison;431 Carpinteria North;Helena;87538;OK;15-09-1952;788-560-5532;9.38
56;Wilson;268 Redwood Highway;Denver;33976;TX;10-05-1973;662-787-9711;114.2
57;Hoover;264 Tully Road East;Phoenix;54823;SD;09-04-1955;646-604-4468;79.31
58;Nixon;239 Via Real;Austin;77345;SD;24-02-1981;782-568-5507;19.44
59;Kennedy;244 Tanger Blvd;Augusta;68859;WV;04-01-1958;934-732-1315;40.72
60;Wilson;724 3/4 N Harrison St BLDG 34;Annapolis;85096;NJ;12-08-1966;472-585-4136;99.9
61;Wilson;315 Tanger Blvd;Salt Lake City;82472;AR;18-11-1954;337-916-5554;53.76
62;Truman;41 Carpinteria Avenue;Lincoln;25765;TX;01-09-1954;655-295-8274;92.96
63;Taft;351 Carpinteria Avenue;Columbia;46969;MS;06-11-1982;576-270-6792;64.89
64;Garfield;970 Calle Real;Little Rock;69712;FL;31-07-1986;721-451-4391;16.36
65;Clinton;633 Erringer Road UNIT 1;Topeka;66902;HI;05-12-1952;926-530-2249;44.43
66;Jefferson;99 Richmond Hill;Saint Paul;11283;MI;15-02-1969;996-602-9479;89.28
67;Ford;250 Woodson Rd.;Pierre;66888;MN;04-01-1975;914-991-2960;115.79
68;Washington;806 San Luis Obispo North UNIT 38;Madison;75475;NC;03-03-1962;398-546-8322;32.91
69;Carter;396 Tanger Blvd;Charleston;30098;ND;09-10-1988;517-496-2876;40.91
