"No";"Civility";"First Name";"Last Name";"Email";"City";"State";"Zip code";"Date";"Campaign";"Phone";"Opt-in"
1;"Mr";"Joe";"Dalton";"joe.dalton@stateprison.com";Roanoke;"TX";76262;12/28/2014;"Dresses";"";"Yes"
2;"Mrs";"Frédérique";"Andrée";"fandree@jamia.fr";Valley Center;"CA";92082;5/27/2015;"Hoodies";"(810) 292-9388";"Yes"
3;"Mr";"Aaron";"Arnould";"aarnould@banquedefrance.com";Gulfport;"MS";39501;7/22/2015;"T-shirts";"(856) 636-8749";"Yes"
4;"Mr";"Philippe";"Banco";"pbanco@photospace.com";Baton Rouge;"LA";70815;2/23/2015;"Hoodies";"";"Yes"
5;"Mr";"Adam";" Doris ";"adoris@gmail.com";Durham;"NC";27701;10/7/2015;"Shoes";"";"Yes"
6;"Mr";"Anthony";"Roride";"aroride@bouygues.com";Livonia;"MI";48150;4/16/2015;"Shoes";"";"No"
7;"Mrs";"Amanda";"Coroque";"acoroque@bpce.com";New Berlin;"WI";53151;7/29/2015;"Shoes";"(773) 573-6914";"Yes"
8;"Mr";"Khalid";"Craford";"kcraford@divape.com";Brunswick;"GA";31520;2/4/2015;"Dresses";"";"Yes"
9;"Mr";"Albert";"Cruz";"acruz@airfrance.com";Memphis;"TN";38141;1/24/2015;"T-shirts";"(605) 414-2147";"Yes"
10;"Mr";"Marc";"Cruz";"mcru@cdc.gov";Washington;"MD";20004;7/7/2015;"Shoes";"(410) 655-8723";"Yes"
11;"Mr";"Gérardo";"Daniele";"gdaniele@bnpp.com";Portland;"OR";97204;5/24/2015;"Hoodies";"";"No"
12;"Mr";"Andre";"Donalle";"adonalle@minefi.org";Piscataway;"NJ";08854;3/30/2015;"T-shirts";"(631) 335-3414";"Yes"
14;"Mr";"Pierre";"Flores";"aflores8m@bnpp.com";Wheaton;"IL";60187;9/11/2015;"Hoodies";"";"Yes"
15;"Mr";"Gabriel";"Fordeau";"afordeau@pixonyx.com";Seattle;"WA";98161;5/14/2015;"Shoes";"";"Yes"
16;"Mr";"Anthony";"Fordet";"afordet@scheinderelectric.com";Newark;"DE";19714;7/4/2015;"Shoes";"";"Yes"
17;"Mr";"Sylvain";"Forbi";"aforbi@airfrance.com";Huntsville;"AL";35801;12/25/2014;"Dresses";"(931) 313-9635";"Yes"
18;"Mr";"André";"Gonzales";"agonzales@airbus.com";Wausau;"WI";54401;7/15/2015;"Shoes";"(414) 661-9598";"Yes"
19;"Mrs";"Anne";"Gonzalez ";"agonzalez@aaadata.com";Boston;"MA";02107;10/18/2015;"Shoes";"";"Yes"
20;"Mrs";"Andrea";"Grene";"agrene@laposte.com";Eureka;"CA";95501;1/26/2015;"Shoes";"(815) 828-2147";"Yes"
21;"Mr";"Marc-Alexandre";"Gutierrez";"agutierrez69@purevolume.com";Baton Rouge;"LA";70815;12/6/2015;"Hoodies";"(610) 545-3615";"Yes"
22;"Mr";"Alexandre";"Harpe ";"aharpe@cridf.fr";Chevy Chase;"MD";20815;8/31/2015;"Shoes";"(408) 540-1785";"Yes"
23;"Mr";"Mohamed";"Harse";"mharse@istockphoto.com";Phoenix;"AZ";85003;11/26/2014;"Dresses";"(972) 303-9197";"Yes"
24;"Mr";"Cyrille";" C50Havis";"ahavis@skajo.com";Detroit;"MI";48207;1/19/2015;"Shoes";"(518) 966-7987";"Yes"
