"Firstname","Lastname","Phone","Country","ZipCode","Loyalty","Date","HouseholdDescription"
Aaron,HOWELL,"731-917-6579",US,"89582-0194",Silver,"2012-11-12","2 Adults Kids"
Aaron,Altenwerth,"0110 896 4693",GB,W4U 2UU,Bronze,"2013-9-12","2 Adults Kids"
Aaron,Strosin,,US,"84843",Bronze,"2013-9-12","2 Adults No Kids"
Aaron,KIEHN,(618) 410-9780 x3927,US,"17281-9668",Bronze,"2013-9-12",
Aaron,Dickinson,"765-212-3534 x8983",US,"94834",Bronze,"2013-9-12","2 Adults No Kids"
Abbey,MOORE,(559) 303-2931 x4666,US,"91457",Silver,"2015-11-11","2 Adults 0 Kids"
Abby,Ryan,(620) 806-6340 x7198,US,"16034",Silver,"2013-9-12",
Abigail,hilll,,US,"16826",Bronze,"2012-11-12","2 Adults Kids"
Abigail,Hilll,,United States,"","","2012-11-12","2 Adults Kids"
Abraham,bartoletti,(740) 616-8830 x4368,US,"99467",Bronze,"2013-9-12",Single Female
Abraham,Schultz,+44169776207,United Kingdom,"","","2013-9-12",
Abram,Kirlin,+18629122374,United States,"","","2013-9-12",
Adam,roger,+33 572805391,FR,"46072",Bronze,"2015-11-11",
Adam,Leclercq,+33 189733545,FR,"93955",None,"2015-11-11","2 Adults 0 Kids"
Adam,RÉMY,,FR,"40588",Silver,"2012-11-12","2 Adults 0 Kids"
Adam,LE GALL,+33 314038502,FR,"87529",Gold,"2011-10-12",
Adam,collet,,FR,"06470",Silver,"2012-11-12","2 Adults Kids"
Adam,PARIS,,FR,"26541",Bronze,"2012-11-12",
Adam,Leroux,+33 214577659,FR,"75333",Bronze,"2011-10-12",Single Male
Adam,Noël,"05 22 42 29 77",FR,"66828",Bronze,"2011-10-12","2 Adults Kids"
Adam,MASSON,"01 44 64 01 61",FR,"71598",Silver,"2012-11-12",
Adam,RENAUD,,FR,"07703",Bronze,"2012-11-12","2 Adults Kids"
Adam,ROUSSEL,+33 9 12 94 55 43,FR,"75884",Silver,"2015-11-11","2 Adults No Kids"
Adam,perrot,,FR,"41019",Silver,"2015-11-11","2 Adults 0 Kids"
Adam,THOMAS,"03 88 16 78 88",FR,"76943",Silver,"2013-9-12",Single Male
Adam,Baron,+33 465776086,FR,"37399",Gold,"2015-11-11",
Adam,lopéz,"02 21 15 45 82",FR,"19977",None,"2015-11-11",
Adam,FAURE,"04 18 13 76 40",FR,"29152",None,"2013-9-12","2 Adults 0 Kids"
Adam,Girard,+33 532357356,FR,"64625",None,"2012-11-12","2 Adults No Kids"
Adam,Lefèvre,+33 5 49 16 86 03,FR,"76610",None,"2011-10-12","2 Adults No Kids"
